crosslist, primary
AAMW539401,ANTH533401
AAMW562401,CLST362401
AAMW622401,ARTH222401
AAMW635401,ARTH235401
ACCT242401,ACCT742401
ACCT242402,ACCT742402
ACCT242403,ACCT742403
ACCT243401,ACCT743401
AFRC002401,SOCI001401
AFRC002402,SOCI001402
AFRC002403,SOCI001403
AFRC002404,SOCI001404
AFRC002405,SOCI001405
AFRC002406,SOCI001406
AFRC002407,SOCI001407
AFRC003401,COML002401
AFRC012401,PSCI010401
AFRC041401,URBS010401
AFRC077401,MUSC035401
AFRC078401,URBS178401
AFRC109401,RELS110401
AFRC115401,RELS112401
AFRC151680,AFST150680
AFRC162680,AFST160680
AFRC186401,HIST187401
AFRC215401,HIST216401
AFRC229402,HIST231402
AFRC232401,PSCI231401
AFRC232402,PSCI231402
AFRC232403,PSCI231403
AFRC232404,PSCI231404
AFRC234401,HIST233401
AFRC253401,MUSC256401
AFRC264680,AFST262680
AFRC269401,PSCI271401
AFRC269402,PSCI271402
AFRC269403,PSCI271403
AFRC269404,PSCI271404
AFRC274401,HIST275401
AFRC277401,HIST273401
AFRC294601,ARTH274601
AFRC524401,PSCI535401
AFRC540680,AFST240680
AFRC543680,AFST242680
AFRC548680,AFST247680
AFRC602401,EDUC538401
AFRC771401,MUSC770401
AFST484680,AFST590680
AFST517680,AFST170680
AFST529680,AFST270680
AFST540680,AFST240680
AFST543680,AFST242680
AFST547680,AFST247680
AFST550680,AFST150680
AFST552680,AFST250680
AFST554680,AFST350680
AFST562680,AFST160680
AFST566680,AFST262680
AFST568680,AFST362680
AFST580680,AFST180680
AFST582680,AFST280680
AFST584680,AFST284680
AFST596682,AFST492682
AFST596687,AFST492687
ALAN532680,ALAN032680
AMCS510401,MATH410401
AMCS514101,MATH314101
AMCS514102,MATH314102
AMCS514401,MATH314401
AMCS520401,MATH420401
ANCH025401,NELC101401
ANCH025402,NELC101402
ANCH025403,NELC101403
ANCH025404,NELC101404
ANEL640401,ANEL440401
ANTH022401,MUSC050401
ANTH022402,MUSC050402
ANTH022403,MUSC050403
ANTH110401,NELC111401
ANTH121401,NELC103401
ANTH242401,MUSC252401
ANTH258401,CIS106401
ANTH263401,MUSC256401
ANTH342401,AFRC324401
ANTH521401,ANTH221401
ANTH562401,CLST362401
ANTH583401,EDUC586401
ANTH720401,ANTH220401
ANTH720402,ANTH220402
ANTH720403,ANTH220403
ANTH720404,ANTH220404
ANTH753401,ANTH152401
ARAB580401,AFRC509401
ARAB631401,ARAB031401
ARAB631402,ARAB031402
ARAB631403,ARAB031403
ARAB631404,ARAB031404
ARAB633401,ARAB033401
ARAB633402,ARAB033402
ARAB635401,ARAB035401
ARAB637401,ARAB037401
ARCH431401,ARCH531401
ARCH435401,ARCH535401
ARCH435402,ARCH535402
ARCH768402,REAL821402
ARTH107401,ENGL078401
ARTH107601,CIMS103601
ARTH108401,ENGL091401
ARTH109401,CIMS102401
ARTH109601,CIMS102601
ARTH214401,EALC127401
ARTH214402,EALC127402
ARTH214403,EALC127403
ARTH214404,EALC127404
ARTH227401,CLST111401
ARTH227402,CLST111402
ARTH227403,CLST111403
ARTH227404,CLST111404
ARTH227405,CLST111405
ARTH227406,CLST111406
ARTH230401,ANTH221401
ARTH387401,CIMS320401
ARTH391401,CIMS201401
ARTH580401,GSWS578401
ARTH614401,EALC127401
ARTH614402,EALC127402
ARTH614403,EALC127403
ARTH614404,EALC127404
ARTH622401,ARTH222401
ARTH635401,ARTH235401
ARTH661401,ARTH261401
ARTH667401,ARTH267401
ARTH670401,ARTH270401
ARTH674601,ARTH274601
ARTH676401,ARTH276401
ASAM001401,SOCI103401
ASAM002401,ENGL072401
ASAM003401,HIST155401
ASAM203401,HIST231401
ASAM294601,ARTH274601
BE483401,BE583401
BE662401,CBE618401
BE662402,CBE618402
